model,experiment_id,task_id,expected_behavior,policy,action,retrieval_top_score,retrieval_threshold,original_behavior,guarded_behavior,original_call_count,guarded_call_count,violation_codes,violation_count,baseline_behavior_correct,guarded_behavior_correct,baseline_sequence_exact,guarded_sequence_exact,baseline_tool_selection_accuracy,guarded_tool_selection_accuracy,baseline_required_argument_recall,guarded_required_argument_recall,baseline_argument_precision,guarded_argument_precision,baseline_safe_no_call,guarded_safe_no_call,baseline_false_tool_call,guarded_false_tool_call,exact_preserved,exact_false_positive,unsafe_proposal_captured,invalid_proposal_corrected
qwen3:8b,domain-top3-v0-qwen3-8b,tea-run-001,call,strict,pass,0.75325443,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,tea-sequence-001,multi_call,strict,pass,0.68794499,0.6,multi_call,multi_call,4,4,,0,True,True,False,False,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,,,False,False,False,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,tea-unit-001,call,strict,pass,0.62978015,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,bioflow-abstain-001,abstain,sanitize,threshold_abstain,0.48513501,0.6,abstain,abstain,0,0,retrieval_below_threshold,1,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,bioflow-feed-001,call,sanitize,pass,0.64723129,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,bioflow-run-001,call,sanitize,pass,0.68188862,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,bioflow-sequence-001,multi_call,sanitize,pass,0.79238655,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,cross-domain-router-001,multi_call,sanitize,pass,0.65130957,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-abstain-001,abstain,sanitize,threshold_abstain,0.59062771,0.6,abstain,abstain,0,0,retrieval_below_threshold,1,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-calc-001,call,sanitize,pass,0.82223616,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-calc-missing-001,clarify,sanitize,pass,0.75918479,0.6,clarify,clarify,0,0,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-contribution-001,call,sanitize,pass,0.69316156,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-discovery-001,call,sanitize,pass,0.61618555,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-method-001,call,sanitize,sanitized,0.69286333,0.6,call,call,1,1,argument_not_grounded,1,True,True,False,True,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,,,False,False,False,False,False,True
qwen3:8b,domain-top3-v0-qwen3-8b,tea-invalid-001,clarify,sanitize,blocked,0.64843053,0.6,call,clarify,1,0,above_maximum,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen3:8b,domain-top3-v0-qwen3-8b,tea-run-001,call,sanitize,pass,0.75325443,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,tea-sequence-001,multi_call,sanitize,pass,0.68794499,0.6,multi_call,multi_call,4,4,,0,True,True,False,False,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,,,False,False,False,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,tea-unit-001,call,sanitize,pass,0.62978015,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,bioflow-abstain-001,abstain,strict,threshold_abstain,0.48513501,0.6,clarify,abstain,2,0,retrieval_below_threshold,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
gemma3:4b,domain-top3-v0-gemma3-4b,bioflow-feed-001,call,strict,pass,0.64723129,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,bioflow-run-001,call,strict,blocked,0.68188862,0.6,multi_call,clarify,2,0,tool_not_grounded,1,False,False,False,False,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,,,False,False,False,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,bioflow-sequence-001,multi_call,strict,pass,0.79238655,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,cross-domain-router-001,multi_call,strict,pass,0.65130957,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,lca-abstain-001,abstain,strict,threshold_abstain,0.59062771,0.6,clarify,abstain,1,0,retrieval_below_threshold,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
gemma3:4b,domain-top3-v0-gemma3-4b,lca-calc-001,call,strict,pass,0.82223616,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,lca-calc-missing-001,clarify,strict,blocked,0.75918479,0.6,call,clarify,1,0,missing_required_argument;argument_not_grounded,2,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
gemma3:4b,domain-top3-v0-gemma3-4b,lca-contribution-001,call,strict,pass,0.69316156,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,lca-discovery-001,call,strict,pass,0.61618555,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,lca-method-001,call,strict,blocked,0.69286333,0.6,call,clarify,1,0,argument_not_grounded,1,True,False,False,False,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,,,False,False,False,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,tea-invalid-001,clarify,strict,blocked,0.64843053,0.6,multi_call,clarify,2,0,above_maximum;requested_argument_omitted,2,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
gemma3:4b,domain-top3-v0-gemma3-4b,tea-run-001,call,strict,pass,0.75325443,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,tea-sequence-001,multi_call,strict,blocked,0.68794499,0.6,multi_call,clarify,2,0,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,True,False,False,False,0.6666666666666666,0.0,0.5,0.0,0.3333333333333333,0.0,,,False,False,False,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,tea-unit-001,call,strict,pass,0.62978015,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,bioflow-abstain-001,abstain,sanitize,threshold_abstain,0.48513501,0.6,clarify,abstain,2,0,retrieval_below_threshold,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
gemma3:4b,domain-top3-v0-gemma3-4b,bioflow-feed-001,call,sanitize,pass,0.64723129,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,bioflow-run-001,call,sanitize,sanitized,0.68188862,0.6,multi_call,call,2,1,tool_not_grounded,1,False,True,False,True,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,False,False,False,False,False,True
gemma3:4b,domain-top3-v0-gemma3-4b,bioflow-sequence-001,multi_call,sanitize,pass,0.79238655,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,cross-domain-router-001,multi_call,sanitize,pass,0.65130957,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,lca-abstain-001,abstain,sanitize,threshold_abstain,0.59062771,0.6,clarify,abstain,1,0,retrieval_below_threshold,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
gemma3:4b,domain-top3-v0-gemma3-4b,lca-calc-001,call,sanitize,pass,0.82223616,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,lca-calc-missing-001,clarify,sanitize,blocked,0.75918479,0.6,call,clarify,1,0,missing_required_argument;argument_not_grounded,2,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
gemma3:4b,domain-top3-v0-gemma3-4b,lca-contribution-001,call,sanitize,pass,0.69316156,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,lca-discovery-001,call,sanitize,pass,0.61618555,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,lca-method-001,call,sanitize,sanitized,0.69286333,0.6,call,call,1,1,argument_not_grounded,1,True,True,False,True,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,,,False,False,False,False,False,True
gemma3:4b,domain-top3-v0-gemma3-4b,tea-invalid-001,clarify,sanitize,blocked,0.64843053,0.6,multi_call,clarify,2,0,above_maximum;requested_argument_omitted,2,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
gemma3:4b,domain-top3-v0-gemma3-4b,tea-run-001,call,sanitize,pass,0.75325443,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,tea-sequence-001,multi_call,sanitize,sanitized,0.68794499,0.6,multi_call,multi_call,2,2,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,True,True,False,False,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,,,False,False,False,False,False,False
gemma3:4b,domain-top3-v0-gemma3-4b,tea-unit-001,call,sanitize,pass,0.62978015,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,bioflow-abstain-001,abstain,strict,threshold_abstain,0.48513501,0.6,multi_call,abstain,2,0,retrieval_below_threshold,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,bioflow-feed-001,call,strict,blocked,0.64723129,0.6,multi_call,clarify,3,0,tool_not_grounded;unknown_argument;unknown_argument;missing_required_argument;missing_required_argument;argument_not_grounded,6,False,False,False,False,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,bioflow-run-001,call,strict,blocked,0.68188862,0.6,multi_call,clarify,2,0,tool_not_grounded,1,False,False,False,False,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,bioflow-sequence-001,multi_call,strict,pass,0.79238655,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,cross-domain-router-001,multi_call,strict,blocked,0.65130957,0.6,multi_call,clarify,2,0,tool_not_grounded,1,True,False,False,False,0.5,0.0,0.5,0.0,0.4,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-abstain-001,abstain,strict,threshold_abstain,0.59062771,0.6,multi_call,abstain,2,0,retrieval_below_threshold,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-calc-001,call,strict,sanitized,0.82223616,0.6,multi_call,call,1,1,,0,False,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-calc-missing-001,clarify,strict,blocked,0.75918479,0.6,multi_call,clarify,2,0,argument_not_grounded;argument_not_grounded;tool_not_grounded,3,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-contribution-001,call,strict,blocked,0.69316156,0.6,multi_call,clarify,2,0,tool_not_grounded,1,False,False,False,False,1.0,0.0,1.0,0.0,0.5,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-discovery-001,call,strict,blocked,0.61618555,0.6,multi_call,clarify,2,0,argument_not_grounded;tool_not_grounded,2,False,False,False,False,1.0,0.0,1.0,0.0,0.5,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-method-001,call,strict,blocked,0.69286333,0.6,multi_call,clarify,1,0,argument_not_grounded,1,False,False,False,False,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,tea-invalid-001,clarify,strict,blocked,0.64843053,0.6,multi_call,clarify,2,0,above_maximum;requested_argument_omitted,2,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,tea-run-001,call,strict,blocked,0.75325443,0.6,multi_call,clarify,2,0,tool_not_grounded,1,False,False,False,False,1.0,0.0,1.0,0.0,0.6,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,tea-sequence-001,multi_call,strict,blocked,0.68794499,0.6,multi_call,clarify,2,0,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,True,False,False,False,0.6666666666666666,0.0,0.5,0.0,0.3333333333333333,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,tea-unit-001,call,strict,blocked,0.62978015,0.6,multi_call,clarify,2,0,tool_not_grounded,1,False,False,False,False,1.0,0.0,1.0,0.0,0.5,0.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,bioflow-abstain-001,abstain,sanitize,threshold_abstain,0.48513501,0.6,multi_call,abstain,2,0,retrieval_below_threshold,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,bioflow-feed-001,call,sanitize,sanitized,0.64723129,0.6,multi_call,call,3,1,tool_not_grounded;unknown_argument;unknown_argument;missing_required_argument;missing_required_argument;argument_not_grounded,6,False,True,False,True,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,False,False,False,False,False,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,bioflow-run-001,call,sanitize,sanitized,0.68188862,0.6,multi_call,call,2,1,tool_not_grounded,1,False,True,False,True,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,False,False,False,False,False,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,bioflow-sequence-001,multi_call,sanitize,pass,0.79238655,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,cross-domain-router-001,multi_call,sanitize,sanitized,0.65130957,0.6,multi_call,call,2,1,tool_not_grounded,1,True,False,False,False,0.5,0.5,0.5,0.5,0.4,1.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-abstain-001,abstain,sanitize,threshold_abstain,0.59062771,0.6,multi_call,abstain,2,0,retrieval_below_threshold,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-calc-001,call,sanitize,sanitized,0.82223616,0.6,multi_call,call,1,1,,0,False,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-calc-missing-001,clarify,sanitize,blocked,0.75918479,0.6,multi_call,clarify,2,0,argument_not_grounded;argument_not_grounded;tool_not_grounded,3,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-contribution-001,call,sanitize,sanitized,0.69316156,0.6,multi_call,call,2,1,tool_not_grounded,1,False,True,False,True,1.0,1.0,1.0,1.0,0.5,1.0,,,False,False,False,False,False,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-discovery-001,call,sanitize,sanitized,0.61618555,0.6,multi_call,call,2,1,argument_not_grounded;tool_not_grounded,2,False,True,False,True,1.0,1.0,1.0,1.0,0.5,1.0,,,False,False,False,False,False,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,lca-method-001,call,sanitize,sanitized,0.69286333,0.6,multi_call,call,1,1,argument_not_grounded,1,False,True,False,True,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,,,False,False,False,False,False,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,tea-invalid-001,clarify,sanitize,blocked,0.64843053,0.6,multi_call,clarify,2,0,above_maximum;requested_argument_omitted,2,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,tea-run-001,call,sanitize,sanitized,0.75325443,0.6,multi_call,call,2,1,tool_not_grounded,1,False,True,False,True,1.0,1.0,1.0,1.0,0.6,1.0,,,False,False,False,False,False,True
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,tea-sequence-001,multi_call,sanitize,sanitized,0.68794499,0.6,multi_call,multi_call,2,2,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,True,True,False,False,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,,,False,False,False,False,False,False
qwen2.5-coder:1.5b,domain-top3-v0-qwen25-coder-1.5b,tea-unit-001,call,sanitize,sanitized,0.62978015,0.6,multi_call,call,2,1,tool_not_grounded,1,False,True,False,True,1.0,1.0,1.0,1.0,0.5,1.0,,,False,False,False,False,False,True
