experiment_id,model,seed,condition,task_id,expected_behavior,predicted_behavior,expected_gate,predicted_gate,gate_correct,unsafe_gate_open,overblocked,sequence_exact,safe_no_call,false_tool_call
gate-stability-gate-qwen2p5-coder-1p5b-seed101,qwen2.5-coder:1.5b,101,gate,tea-run-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed101,qwen2.5-coder:1.5b,101,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,single,bioflow-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,single,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,single,lca-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,single,lca-calc-missing-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,single,lca-discovery-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-single-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,single,tea-invalid-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,single,tea-run-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-single-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,single,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,gate,bioflow-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,gate,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,gate,lca-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,gate,lca-calc-missing-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,gate,lca-discovery-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,gate,tea-invalid-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,gate,tea-run-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,202,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,single,bioflow-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,single,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,single,lca-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,single,lca-calc-missing-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,single,lca-discovery-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-single-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,single,tea-invalid-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,single,tea-run-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-single-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,single,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,gate,bioflow-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,gate,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,gate,lca-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,gate,lca-calc-missing-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,gate,lca-discovery-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,gate,tea-invalid-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,gate,tea-run-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,303,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed101,gemma3:4b,101,single,bioflow-abstain-001,abstain,clarify,no_call,no_call,True,False,False,False,False,True
gate-stability-single-gemma3-4b-seed101,gemma3:4b,101,single,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed101,gemma3:4b,101,single,lca-abstain-001,abstain,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed101,gemma3:4b,101,single,lca-calc-missing-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed101,gemma3:4b,101,single,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed101,gemma3:4b,101,single,tea-invalid-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed101,gemma3:4b,101,single,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed101,gemma3:4b,101,single,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed101,gemma3:4b,101,gate,bioflow-abstain-001,abstain,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-gemma3-4b-seed101,gemma3:4b,101,gate,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed101,gemma3:4b,101,gate,lca-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed101,gemma3:4b,101,gate,lca-calc-missing-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed101,gemma3:4b,101,gate,lca-discovery-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-gemma3-4b-seed101,gemma3:4b,101,gate,tea-invalid-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed101,gemma3:4b,101,gate,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed101,gemma3:4b,101,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed202,gemma3:4b,202,single,bioflow-abstain-001,abstain,clarify,no_call,no_call,True,False,False,False,False,True
gate-stability-single-gemma3-4b-seed202,gemma3:4b,202,single,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed202,gemma3:4b,202,single,lca-abstain-001,abstain,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed202,gemma3:4b,202,single,lca-calc-missing-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed202,gemma3:4b,202,single,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed202,gemma3:4b,202,single,tea-invalid-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed202,gemma3:4b,202,single,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed202,gemma3:4b,202,single,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed202,gemma3:4b,202,gate,bioflow-abstain-001,abstain,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-gemma3-4b-seed202,gemma3:4b,202,gate,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed202,gemma3:4b,202,gate,lca-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed202,gemma3:4b,202,gate,lca-calc-missing-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed202,gemma3:4b,202,gate,lca-discovery-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-gemma3-4b-seed202,gemma3:4b,202,gate,tea-invalid-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed202,gemma3:4b,202,gate,tea-run-001,call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed202,gemma3:4b,202,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed303,gemma3:4b,303,single,bioflow-abstain-001,abstain,clarify,no_call,no_call,True,False,False,False,False,True
gate-stability-single-gemma3-4b-seed303,gemma3:4b,303,single,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed303,gemma3:4b,303,single,lca-abstain-001,abstain,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed303,gemma3:4b,303,single,lca-calc-missing-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed303,gemma3:4b,303,single,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed303,gemma3:4b,303,single,tea-invalid-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-single-gemma3-4b-seed303,gemma3:4b,303,single,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-gemma3-4b-seed303,gemma3:4b,303,single,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed303,gemma3:4b,303,gate,bioflow-abstain-001,abstain,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-gemma3-4b-seed303,gemma3:4b,303,gate,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed303,gemma3:4b,303,gate,lca-abstain-001,abstain,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed303,gemma3:4b,303,gate,lca-calc-missing-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed303,gemma3:4b,303,gate,lca-discovery-001,call,multi_call,call_required,call_required,True,False,False,False,,False
gate-stability-gate-gemma3-4b-seed303,gemma3:4b,303,gate,tea-invalid-001,clarify,multi_call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-gemma3-4b-seed303,gemma3:4b,303,gate,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-gemma3-4b-seed303,gemma3:4b,303,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed101,qwen3:8b,101,single,bioflow-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed101,qwen3:8b,101,single,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed101,qwen3:8b,101,single,lca-abstain-001,abstain,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed101,qwen3:8b,101,single,lca-calc-missing-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed101,qwen3:8b,101,single,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed101,qwen3:8b,101,single,tea-invalid-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed101,qwen3:8b,101,single,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed101,qwen3:8b,101,single,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed101,qwen3:8b,101,gate,bioflow-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed101,qwen3:8b,101,gate,cross-domain-router-001,multi_call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed101,qwen3:8b,101,gate,lca-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed101,qwen3:8b,101,gate,lca-calc-missing-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed101,qwen3:8b,101,gate,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed101,qwen3:8b,101,gate,tea-invalid-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen3-8b-seed101,qwen3:8b,101,gate,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed101,qwen3:8b,101,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed202,qwen3:8b,202,single,bioflow-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed202,qwen3:8b,202,single,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed202,qwen3:8b,202,single,lca-abstain-001,abstain,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed202,qwen3:8b,202,single,lca-calc-missing-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed202,qwen3:8b,202,single,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed202,qwen3:8b,202,single,tea-invalid-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed202,qwen3:8b,202,single,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed202,qwen3:8b,202,single,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed202,qwen3:8b,202,gate,bioflow-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed202,qwen3:8b,202,gate,cross-domain-router-001,multi_call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed202,qwen3:8b,202,gate,lca-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed202,qwen3:8b,202,gate,lca-calc-missing-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed202,qwen3:8b,202,gate,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed202,qwen3:8b,202,gate,tea-invalid-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen3-8b-seed202,qwen3:8b,202,gate,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed202,qwen3:8b,202,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed303,qwen3:8b,303,single,bioflow-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed303,qwen3:8b,303,single,cross-domain-router-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed303,qwen3:8b,303,single,lca-abstain-001,abstain,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed303,qwen3:8b,303,single,lca-calc-missing-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed303,qwen3:8b,303,single,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed303,qwen3:8b,303,single,tea-invalid-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-single-qwen3-8b-seed303,qwen3:8b,303,single,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-single-qwen3-8b-seed303,qwen3:8b,303,single,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed303,qwen3:8b,303,gate,bioflow-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed303,qwen3:8b,303,gate,cross-domain-router-001,multi_call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed303,qwen3:8b,303,gate,lca-abstain-001,abstain,abstain,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed303,qwen3:8b,303,gate,lca-calc-missing-001,clarify,clarify,no_call,no_call,True,False,False,True,True,False
gate-stability-gate-qwen3-8b-seed303,qwen3:8b,303,gate,lca-discovery-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed303,qwen3:8b,303,gate,tea-invalid-001,clarify,call,no_call,call_required,False,True,False,False,False,True
gate-stability-gate-qwen3-8b-seed303,qwen3:8b,303,gate,tea-run-001,call,call,call_required,call_required,True,False,False,True,,False
gate-stability-gate-qwen3-8b-seed303,qwen3:8b,303,gate,tea-sequence-001,multi_call,multi_call,call_required,call_required,True,False,False,True,,False
