model,seed,task_id,schema_changed,expected_tool_schema_changed,transition,before_behavior,after_behavior,before_exact,after_exact,before_tool_selection,after_tool_selection,before_argument_precision,after_argument_precision
gemma3:4b,101,olca-write-abstain-001,True,False,unchanged_incorrect,clarify,clarify,False,False,0.0,0.0,0.0,0.0
gemma3:4b,202,olca-calc-contributions-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,0.6666666666666666,1.0,0.6666666666666666,0.5555555555555556
gemma3:4b,202,olca-calc-inventory-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.5,0.5
gemma3:4b,202,olca-calculate-by-id-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.75,0.75
gemma3:4b,202,olca-calculate-by-name-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,202,olca-calculate-missing-system-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,202,olca-compare-systems-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,202,olca-contributions-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.8,0.8
gemma3:4b,202,olca-contributions-missing-category-001,True,False,unchanged_incorrect,clarify,clarify,False,False,0.0,0.0,0.0,0.0
gemma3:4b,202,olca-dispose-result-001,True,False,unchanged_incorrect,call,call,False,False,1.0,1.0,0.3333333333333333,0.3333333333333333
gemma3:4b,202,olca-email-abstain-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,202,olca-exact-entity-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,202,olca-find-providers-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,202,olca-health-fast-001,False,False,improved,multi_call,call,False,True,0.0,1.0,0.0,1.0
gemma3:4b,202,olca-inventory-output-001,True,True,improved,clarify,clarify,False,True,1.0,1.0,0.3333333333333333,1.0
gemma3:4b,202,olca-probe-connection-001,False,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
gemma3:4b,202,olca-search-flows-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.5,0.5
gemma3:4b,202,olca-search-method-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.0,0.0
gemma3:4b,202,olca-search-processes-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.5,0.5
gemma3:4b,202,olca-total-requirements-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
gemma3:4b,202,olca-write-abstain-001,True,False,unchanged_incorrect,clarify,clarify,False,False,0.0,0.0,0.0,0.0
gemma3:4b,303,olca-calc-contributions-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,0.6666666666666666,1.0,0.6666666666666666,0.5555555555555556
gemma3:4b,303,olca-calc-inventory-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.5,0.5
gemma3:4b,303,olca-calculate-by-id-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.75,0.75
gemma3:4b,303,olca-calculate-by-name-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,303,olca-calculate-missing-system-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,303,olca-compare-systems-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,303,olca-contributions-001,True,True,unchanged_incorrect,call,multi_call,False,False,1.0,1.0,1.0,0.8
gemma3:4b,303,olca-contributions-missing-category-001,True,False,unchanged_incorrect,clarify,clarify,False,False,0.0,0.0,0.0,0.0
gemma3:4b,303,olca-dispose-result-001,True,False,unchanged_incorrect,call,call,False,False,1.0,1.0,0.3333333333333333,0.3333333333333333
gemma3:4b,303,olca-email-abstain-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,303,olca-exact-entity-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,303,olca-find-providers-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
gemma3:4b,303,olca-health-fast-001,False,False,improved,multi_call,call,False,True,0.0,1.0,0.0,1.0
gemma3:4b,303,olca-inventory-output-001,True,True,improved,clarify,clarify,False,True,1.0,1.0,0.3333333333333333,1.0
gemma3:4b,303,olca-probe-connection-001,False,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
gemma3:4b,303,olca-search-flows-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.5,0.5
gemma3:4b,303,olca-search-method-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.0,0.0
gemma3:4b,303,olca-search-processes-001,True,False,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.5,0.5
gemma3:4b,303,olca-total-requirements-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
gemma3:4b,303,olca-write-abstain-001,True,False,unchanged_incorrect,clarify,clarify,False,False,0.0,0.0,0.0,0.0
qwen3:8b,101,olca-calc-contributions-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.6666666666666666,0.6666666666666666
qwen3:8b,101,olca-calc-inventory-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.6,0.6
qwen3:8b,101,olca-calculate-by-id-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-calculate-by-name-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,101,olca-calculate-missing-system-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,101,olca-compare-systems-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,101,olca-contributions-001,True,True,unchanged_incorrect,call,call,False,False,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-contributions-missing-category-001,True,False,unchanged_exact,clarify,clarify,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-dispose-result-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-email-abstain-001,True,False,unchanged_exact,abstain,abstain,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-exact-entity-001,True,True,improved,call,call,False,True,1.0,1.0,0.5,1.0
qwen3:8b,101,olca-find-providers-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-health-fast-001,False,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-inventory-output-001,True,True,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-probe-connection-001,False,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-search-flows-001,True,True,improved,call,call,False,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-search-method-001,True,False,unchanged_incorrect,call,call,False,False,1.0,1.0,0.0,0.0
qwen3:8b,101,olca-search-processes-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-total-requirements-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,101,olca-write-abstain-001,True,False,unchanged_incorrect,call,call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,202,olca-calc-contributions-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.6666666666666666,0.6666666666666666
qwen3:8b,202,olca-calc-inventory-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.6,0.6
qwen3:8b,202,olca-calculate-by-id-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-calculate-by-name-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,202,olca-calculate-missing-system-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,202,olca-compare-systems-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,202,olca-contributions-001,True,True,unchanged_incorrect,call,call,False,False,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-contributions-missing-category-001,True,False,unchanged_exact,clarify,clarify,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-dispose-result-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-email-abstain-001,True,False,unchanged_exact,abstain,abstain,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-exact-entity-001,True,True,improved,call,call,False,True,1.0,1.0,0.5,1.0
qwen3:8b,202,olca-find-providers-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-health-fast-001,False,False,improved,multi_call,call,False,True,0.0,1.0,0.0,1.0
qwen3:8b,202,olca-inventory-output-001,True,True,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-probe-connection-001,False,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-search-flows-001,True,True,improved,call,call,False,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-search-method-001,True,False,unchanged_incorrect,call,call,False,False,1.0,1.0,0.0,0.0
qwen3:8b,202,olca-search-processes-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-total-requirements-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,202,olca-write-abstain-001,True,False,unchanged_incorrect,call,call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,303,olca-calc-contributions-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.6666666666666666,0.6666666666666666
qwen3:8b,303,olca-calc-inventory-dispose-001,True,True,unchanged_incorrect,multi_call,multi_call,False,False,1.0,1.0,0.6,0.6
qwen3:8b,303,olca-calculate-by-id-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-calculate-by-name-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,303,olca-calculate-missing-system-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,303,olca-compare-systems-001,False,False,unchanged_incorrect,multi_call,multi_call,False,False,0.0,0.0,0.0,0.0
qwen3:8b,303,olca-contributions-001,True,True,unchanged_incorrect,call,call,False,False,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-contributions-missing-category-001,True,False,unchanged_exact,clarify,clarify,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-dispose-result-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-email-abstain-001,True,False,unchanged_exact,abstain,abstain,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-exact-entity-001,True,True,improved,call,call,False,True,1.0,1.0,0.5,1.0
qwen3:8b,303,olca-find-providers-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-health-fast-001,False,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-inventory-output-001,True,True,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-probe-connection-001,False,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-search-flows-001,True,True,improved,call,call,False,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-search-method-001,True,False,unchanged_incorrect,call,call,False,False,1.0,1.0,0.0,0.0
qwen3:8b,303,olca-search-processes-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-total-requirements-001,True,False,unchanged_exact,call,call,True,True,1.0,1.0,1.0,1.0
qwen3:8b,303,olca-write-abstain-001,True,False,unchanged_incorrect,call,call,False,False,0.0,0.0,0.0,0.0
