model,seed,task_id,schema_exposure_changed,expected_tool_schema_changed,schema_group,before_exact,after_exact,replay_exact,schema_transition,replay_transition,before_after_result_identity,before_replay_result_identity,before_replay_behavior_identity,before_replay_calls_identity,before_behavior,after_behavior,replay_behavior
qwen2.5-coder:1.5b,202,olca-write-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,202,olca-email-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-probe-connection-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,clarify,clarify,clarify
qwen2.5-coder:1.5b,303,olca-health-fast-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-search-processes-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-search-flows-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-search-method-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-exact-entity-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,clarify,multi_call
qwen2.5-coder:1.5b,303,olca-find-providers-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-calculate-by-id-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,multi_call,clarify
qwen2.5-coder:1.5b,303,olca-calculate-by-name-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-inventory-output-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,clarify,clarify
qwen2.5-coder:1.5b,303,olca-total-requirements-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,clarify,multi_call
qwen2.5-coder:1.5b,303,olca-contributions-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,clarify,multi_call
qwen2.5-coder:1.5b,303,olca-compare-systems-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-dispose-result-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen2.5-coder:1.5b,303,olca-calc-inventory-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,multi_call,clarify
qwen2.5-coder:1.5b,303,olca-calc-contributions-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-calculate-missing-system-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-contributions-missing-category-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-write-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen2.5-coder:1.5b,303,olca-email-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-probe-connection-001,False,False,schema_identical,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
gemma3:4b,101,olca-health-fast-001,False,False,schema_identical,False,True,False,improved,stable_incorrect,False,True,True,True,multi_call,call,multi_call
gemma3:4b,101,olca-search-processes-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-search-flows-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-search-method-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-exact-entity-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-find-providers-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-calculate-by-id-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-calculate-by-name-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-inventory-output-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,101,olca-total-requirements-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
gemma3:4b,101,olca-contributions-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-compare-systems-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-dispose-result-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
gemma3:4b,101,olca-calc-inventory-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-calc-contributions-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-calculate-missing-system-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,101,olca-contributions-missing-category-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,101,olca-write-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,101,olca-email-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-probe-connection-001,False,False,schema_identical,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
gemma3:4b,202,olca-health-fast-001,False,False,schema_identical,False,True,True,improved,improved,False,False,False,False,multi_call,call,call
gemma3:4b,202,olca-search-processes-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-search-flows-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-search-method-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-exact-entity-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-find-providers-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-calculate-by-id-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-calculate-by-name-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-inventory-output-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,202,olca-total-requirements-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
gemma3:4b,202,olca-contributions-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-compare-systems-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-dispose-result-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
gemma3:4b,202,olca-calc-inventory-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-calc-contributions-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-calculate-missing-system-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,202,olca-contributions-missing-category-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,202,olca-write-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,202,olca-email-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-probe-connection-001,False,False,schema_identical,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
gemma3:4b,303,olca-health-fast-001,False,False,schema_identical,False,True,True,improved,improved,False,False,False,False,multi_call,call,call
gemma3:4b,303,olca-search-processes-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-search-flows-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-search-method-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-exact-entity-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-find-providers-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-calculate-by-id-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-calculate-by-name-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-inventory-output-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,303,olca-total-requirements-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
gemma3:4b,303,olca-contributions-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,call,multi_call,call
gemma3:4b,303,olca-compare-systems-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-dispose-result-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
gemma3:4b,303,olca-calc-inventory-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-calc-contributions-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-calculate-missing-system-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
gemma3:4b,303,olca-contributions-missing-category-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,303,olca-write-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,clarify,clarify,clarify
gemma3:4b,303,olca-email-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,101,olca-probe-connection-001,False,False,schema_identical,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,101,olca-health-fast-001,False,False,schema_identical,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,101,olca-search-processes-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,101,olca-search-flows-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,call,call,call
qwen3:8b,101,olca-search-method-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
qwen3:8b,101,olca-exact-entity-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,call,call,call
qwen3:8b,101,olca-find-providers-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,101,olca-calculate-by-id-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,101,olca-calculate-by-name-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,101,olca-inventory-output-001,True,True,expected_tool_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,101,olca-total-requirements-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,101,olca-contributions-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
qwen3:8b,101,olca-compare-systems-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,101,olca-dispose-result-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,101,olca-calc-inventory-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,101,olca-calc-contributions-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,101,olca-calculate-missing-system-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,101,olca-contributions-missing-category-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,clarify,clarify,clarify
qwen3:8b,101,olca-write-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,call,call,call
qwen3:8b,101,olca-email-abstain-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,abstain,abstain,abstain
qwen3:8b,202,olca-probe-connection-001,False,False,schema_identical,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,202,olca-health-fast-001,False,False,schema_identical,False,True,True,improved,improved,False,False,False,False,multi_call,call,call
qwen3:8b,202,olca-search-processes-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,202,olca-search-flows-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,call,call,call
qwen3:8b,202,olca-search-method-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
qwen3:8b,202,olca-exact-entity-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,call,call,call
qwen3:8b,202,olca-find-providers-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,202,olca-calculate-by-id-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,202,olca-calculate-by-name-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,202,olca-inventory-output-001,True,True,expected_tool_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,202,olca-total-requirements-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,202,olca-contributions-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
qwen3:8b,202,olca-compare-systems-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,202,olca-dispose-result-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,202,olca-calc-inventory-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,202,olca-calc-contributions-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,202,olca-calculate-missing-system-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,202,olca-contributions-missing-category-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,clarify,clarify,clarify
qwen3:8b,202,olca-write-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,call,call,call
qwen3:8b,202,olca-email-abstain-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,abstain,abstain,abstain
qwen3:8b,303,olca-probe-connection-001,False,False,schema_identical,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,303,olca-health-fast-001,False,False,schema_identical,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,303,olca-search-processes-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,303,olca-search-flows-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,call,call,call
qwen3:8b,303,olca-search-method-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
qwen3:8b,303,olca-exact-entity-001,True,True,expected_tool_changed,False,True,False,improved,stable_incorrect,False,True,True,True,call,call,call
qwen3:8b,303,olca-find-providers-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,303,olca-calculate-by-id-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,303,olca-calculate-by-name-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,303,olca-inventory-output-001,True,True,expected_tool_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,303,olca-total-requirements-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,303,olca-contributions-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,call,call,call
qwen3:8b,303,olca-compare-systems-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,303,olca-dispose-result-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,call,call,call
qwen3:8b,303,olca-calc-inventory-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,303,olca-calc-contributions-dispose-001,True,True,expected_tool_changed,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,303,olca-calculate-missing-system-001,False,False,schema_identical,False,False,False,stable_incorrect,stable_incorrect,True,True,True,True,multi_call,multi_call,multi_call
qwen3:8b,303,olca-contributions-missing-category-001,True,False,distractor_only_changed,True,True,True,stable_exact,stable_exact,True,True,True,True,clarify,clarify,clarify
qwen3:8b,303,olca-write-abstain-001,True,False,distractor_only_changed,False,False,False,stable_incorrect,stable_incorrect,False,True,True,True,call,call,call
