model,seed,policy,task_id,expected_behavior,predicted_behavior,action,original_call_count,final_call_count,violation_codes,violation_count,behavior_correct,sequence_exact,tool_selection_accuracy,required_argument_recall,argument_precision,safe_no_call,false_tool_call,baseline_sequence_exact,baseline_false_tool_call,exact_preserved,exact_false_positive,unsafe_proposal_captured,invalid_proposal_corrected
qwen2.5-coder:1.5b,101,sanitize,lca-discovery-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,model_only,lca-method-001,call,clarify,model_only,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,lca-method-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,sanitize,lca-method-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,model_only,tea-invalid-001,clarify,multi_call,model_only,2,2,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,101,strict,tea-invalid-001,clarify,clarify,blocked,2,0,argument_not_grounded;above_maximum;tool_not_grounded,3,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,101,sanitize,tea-invalid-001,clarify,clarify,blocked,2,0,argument_not_grounded;above_maximum;tool_not_grounded,3,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,101,model_only,tea-run-001,call,call,model_only,2,2,,0,True,False,1.0,1.0,0.6,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,tea-run-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,sanitize,tea-run-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,101,model_only,tea-sequence-001,multi_call,multi_call,model_only,2,2,,0,True,False,0.6666666666666666,0.5,0.3333333333333333,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,tea-sequence-001,multi_call,clarify,blocked,2,0,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,sanitize,tea-sequence-001,multi_call,multi_call,sanitized,2,2,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,True,False,0.6666666666666666,0.5,1.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,model_only,tea-unit-001,call,call,model_only,2,2,,0,True,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,tea-unit-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,sanitize,tea-unit-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,202,model_only,bioflow-abstain-001,abstain,multi_call,model_only,3,3,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,202,strict,bioflow-abstain-001,abstain,abstain,threshold_abstain,3,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,202,sanitize,bioflow-abstain-001,abstain,abstain,threshold_abstain,3,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,202,model_only,bioflow-feed-001,call,multi_call,model_only,3,3,,0,False,False,1.0,1.0,0.3333333333333333,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,bioflow-feed-001,call,clarify,blocked,3,0,tool_not_grounded;argument_not_grounded;argument_not_grounded;invalid_type,4,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,bioflow-feed-001,call,call,sanitized,3,1,tool_not_grounded;argument_not_grounded;argument_not_grounded;invalid_type,4,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,202,model_only,bioflow-run-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.3333333333333333,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,bioflow-run-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,bioflow-run-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,202,model_only,bioflow-sequence-001,multi_call,multi_call,model_only,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,202,strict,bioflow-sequence-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,202,sanitize,bioflow-sequence-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,202,model_only,cross-domain-router-001,multi_call,multi_call,model_only,2,2,,0,True,False,0.5,0.5,0.4,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,cross-domain-router-001,multi_call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,cross-domain-router-001,multi_call,call,sanitized,2,1,tool_not_grounded,1,False,False,0.5,0.5,1.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,model_only,lca-abstain-001,abstain,multi_call,model_only,3,3,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,202,strict,lca-abstain-001,abstain,abstain,threshold_abstain,3,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,202,sanitize,lca-abstain-001,abstain,abstain,threshold_abstain,3,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,202,model_only,lca-calc-001,call,multi_call,model_only,3,3,,0,False,False,1.0,1.0,0.18181818181818182,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,lca-calc-001,call,clarify,blocked,3,0,tool_not_grounded;unknown_tool,2,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,lca-calc-001,call,call,sanitized,3,1,tool_not_grounded;unknown_tool,2,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,202,model_only,lca-calc-missing-001,clarify,multi_call,model_only,2,2,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,202,strict,lca-calc-missing-001,clarify,clarify,blocked,2,0,argument_not_grounded;argument_not_grounded;tool_not_grounded,3,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,202,sanitize,lca-calc-missing-001,clarify,clarify,blocked,2,0,argument_not_grounded;argument_not_grounded;tool_not_grounded,3,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,202,model_only,lca-contribution-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.5,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,lca-contribution-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,lca-contribution-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,202,model_only,lca-discovery-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.5,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,lca-discovery-001,call,clarify,blocked,2,0,argument_not_grounded;tool_not_grounded,2,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,lca-discovery-001,call,call,sanitized,2,1,argument_not_grounded;tool_not_grounded,2,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,202,model_only,lca-method-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.4,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,lca-method-001,call,clarify,blocked,2,0,argument_not_grounded;tool_not_grounded,2,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,lca-method-001,call,call,sanitized,2,1,argument_not_grounded;tool_not_grounded,2,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,202,model_only,tea-invalid-001,clarify,multi_call,model_only,2,2,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,202,strict,tea-invalid-001,clarify,clarify,blocked,2,0,above_maximum;requested_argument_omitted,2,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,202,sanitize,tea-invalid-001,clarify,clarify,blocked,2,0,above_maximum;requested_argument_omitted,2,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,202,model_only,tea-run-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.6,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,tea-run-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,tea-run-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,202,model_only,tea-sequence-001,multi_call,multi_call,model_only,2,2,,0,True,False,0.6666666666666666,0.5,0.3333333333333333,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,tea-sequence-001,multi_call,clarify,blocked,2,0,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,tea-sequence-001,multi_call,multi_call,sanitized,2,2,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,True,False,0.6666666666666666,0.5,1.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,model_only,tea-unit-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.5,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,strict,tea-unit-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,202,sanitize,tea-unit-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,303,model_only,bioflow-abstain-001,abstain,multi_call,model_only,3,3,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,303,strict,bioflow-abstain-001,abstain,abstain,threshold_abstain,3,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,303,sanitize,bioflow-abstain-001,abstain,abstain,threshold_abstain,3,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,303,model_only,bioflow-feed-001,call,multi_call,model_only,3,3,,0,False,False,1.0,1.0,0.42857142857142855,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,bioflow-feed-001,call,clarify,blocked,3,0,tool_not_grounded;unknown_tool,2,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,bioflow-feed-001,call,call,sanitized,3,1,tool_not_grounded;unknown_tool,2,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,303,model_only,bioflow-run-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.3333333333333333,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,bioflow-run-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,bioflow-run-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,303,model_only,bioflow-sequence-001,multi_call,multi_call,model_only,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,303,strict,bioflow-sequence-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,303,sanitize,bioflow-sequence-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,303,model_only,cross-domain-router-001,multi_call,multi_call,model_only,2,2,,0,True,False,0.5,0.5,0.4,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,cross-domain-router-001,multi_call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,cross-domain-router-001,multi_call,call,sanitized,2,1,tool_not_grounded,1,False,False,0.5,0.5,1.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,model_only,lca-abstain-001,abstain,multi_call,model_only,3,3,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,303,strict,lca-abstain-001,abstain,abstain,threshold_abstain,3,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,303,sanitize,lca-abstain-001,abstain,abstain,threshold_abstain,3,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,303,model_only,lca-calc-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.2857142857142857,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,lca-calc-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,lca-calc-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,303,model_only,lca-calc-missing-001,clarify,multi_call,model_only,2,2,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,303,strict,lca-calc-missing-001,clarify,clarify,blocked,2,0,argument_not_grounded;argument_not_grounded;tool_not_grounded,3,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,303,sanitize,lca-calc-missing-001,clarify,clarify,blocked,2,0,argument_not_grounded;argument_not_grounded;tool_not_grounded,3,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,303,model_only,lca-contribution-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.5,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,lca-contribution-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,lca-contribution-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,303,model_only,lca-discovery-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.5,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,lca-discovery-001,call,clarify,blocked,2,0,argument_not_grounded;tool_not_grounded,2,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,lca-discovery-001,call,call,sanitized,2,1,argument_not_grounded;tool_not_grounded,2,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,303,model_only,lca-method-001,call,clarify,model_only,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,lca-method-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,lca-method-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,model_only,tea-invalid-001,clarify,multi_call,model_only,2,2,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,303,strict,tea-invalid-001,clarify,clarify,blocked,2,0,above_maximum;requested_argument_omitted,2,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,303,sanitize,tea-invalid-001,clarify,clarify,blocked,2,0,above_maximum;requested_argument_omitted,2,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,303,model_only,tea-run-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.6,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,tea-run-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,tea-run-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
qwen2.5-coder:1.5b,303,model_only,tea-sequence-001,multi_call,multi_call,model_only,2,2,,0,True,False,0.6666666666666666,0.5,0.3333333333333333,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,tea-sequence-001,multi_call,clarify,blocked,2,0,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,tea-sequence-001,multi_call,multi_call,sanitized,2,2,argument_not_grounded;argument_not_grounded;argument_not_grounded;argument_not_grounded,4,True,False,0.6666666666666666,0.5,1.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,model_only,tea-unit-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.5,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,strict,tea-unit-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,303,sanitize,tea-unit-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
gemma3:4b,101,model_only,bioflow-abstain-001,abstain,clarify,model_only,2,2,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
gemma3:4b,101,strict,bioflow-abstain-001,abstain,abstain,threshold_abstain,2,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
gemma3:4b,101,sanitize,bioflow-abstain-001,abstain,abstain,threshold_abstain,2,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
gemma3:4b,101,model_only,bioflow-feed-001,call,call,model_only,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,strict,bioflow-feed-001,call,call,pass,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,sanitize,bioflow-feed-001,call,call,pass,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,model_only,bioflow-run-001,call,multi_call,model_only,2,2,,0,False,False,1.0,1.0,0.3333333333333333,,False,False,False,False,False,False,False
gemma3:4b,101,strict,bioflow-run-001,call,clarify,blocked,2,0,tool_not_grounded,1,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
gemma3:4b,101,sanitize,bioflow-run-001,call,call,sanitized,2,1,tool_not_grounded,1,True,True,1.0,1.0,1.0,,False,False,False,False,False,False,True
gemma3:4b,101,model_only,bioflow-sequence-001,multi_call,multi_call,model_only,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,strict,bioflow-sequence-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,sanitize,bioflow-sequence-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,model_only,cross-domain-router-001,multi_call,multi_call,model_only,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,strict,cross-domain-router-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,sanitize,cross-domain-router-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,model_only,lca-abstain-001,abstain,clarify,model_only,1,1,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
gemma3:4b,101,strict,lca-abstain-001,abstain,abstain,threshold_abstain,1,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
gemma3:4b,101,sanitize,lca-abstain-001,abstain,abstain,threshold_abstain,1,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
gemma3:4b,101,model_only,lca-calc-001,call,call,model_only,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,strict,lca-calc-001,call,call,pass,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,sanitize,lca-calc-001,call,call,pass,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
gemma3:4b,101,model_only,lca-calc-missing-001,clarify,call,model_only,1,1,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
gemma3:4b,101,strict,lca-calc-missing-001,clarify,clarify,blocked,1,0,missing_required_argument;argument_not_grounded,2,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
